startup_name,description,categorie,pays,ouverture,resultat,raison,fermeture,nombre_de_fondateur,founder,nombre_d_employe,founding_round,Total_funding,Profit,nombre_d_investisseur
dream-client-academy,"Hey everyone ! My name is Alex Albarran, I'm 21 years old and the founder ofDream Client Academy. We're a consulting firm based in Hollywood, Florida.",Marketing,United States,2017,active,"Robust Business Model, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,2,Alex Albarran,30,1,-1,365903,1
mailbrew,"Hi Failory, thanks so much for this interview. I'mFabrizio, an Italian maker, designer, and filmmaker, currently working onMailbrewfull-time.",Productivity,Italy,2018,active,"Experience of the Founder, Profitability, Strong Leadership, Geographical Advantage",-1,1,Fabrizio Rinaldi,10,2,-1,102956,1
pull-reminders,I'm a 27-year-old developer based out of Chicago. My first experience as an entrepreneur was in middle school when I was hustlingmodded nerf gunson internet forums.,Software & Hardware,United States,2016,active,"Experience of the Founder, Profitability, Strong Leadership, Geographical Advantage",-1,1,Abi Noda,10,1,-1,157500,1
resumemaker,"My name is Fernando Pessagno, I am a 35 years old Argentinian Product Designer, currently living in Tallinn, Estonia. I moved to Europe in late 2020 after landing an amazing full-time job at an AI startup, and I focus on my personal business in my free time:ResumeMaker.Online, the easiest-to-use resume maker.",Productivity,Argentina,2020,active,"Profitability, Strong Leadership, Geographical Advantage",-1,1,Fernando Pessagno,20,1,-1,225301,1
habitify,"Hello! I'm Alan, growth lead at Habitify, the multi-platform app that allows you to build habits and focus on what matters. I joined Habitify when it was only 1 year old, and when its marketing was a blank paper.",Productivity,Vietnam,2018,active,"Experience of the Founder, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,2,Alan Nguyen,10,1,-1,129381,1
mentorcruise,"Hey, thanks for having me! I'm the Founder ofMentorCruise.com, a mentorship service for people in tech. I'm 23 years old, living in Zurich, Switzerland.",Education,Switzerland,2018,active,"Experience of the Founder, Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,2,Dominic Monn,20,2,-1,399828,1
pathways,"My name's Sandip Sekhon, I'm 36, based in London, and my educational and professional working background is in finance and banking. That switched to Internet entrepreneurship 10 years ago, and I haven't looked back! I'm currently the CEO and Founder of the pain therapy appPathways.",Health,United Kingdom,2017,active,"Profitability, Strong Leadership, Geographical Advantage",-1,1,Sandip Sekhon,50,2,-1,647183,1
spuds,"Hey there! I am currently working on a men's apparel company, SPUDS, that is focusing on simplifying the wardrobe by creating performance apparel that can be worn everywhere and for anything, all while never looking out of place. Before working on this, I was a recent Industrial Engineering / Technology college graduate who also ran a side business that sold maintenance and protection products to schools and sports facilities.",e-Commerce,United States,2017,active,"Market and Network, Profitability, Strong Leadership, Geographical Advantage",-1,1,Paul Dickey,30,1,-1,457085,1
Appiterate,Mobile marketing automation platform,Marketing,United States,2013,Acquired,Acquisition Flu,2015,4,"Anuj Bhargava, Mayank Kumar, Tanuj Mendiratta, Varun Sharma",5,1,18152,-1,3
FoundationDB,Scalable NoSQL layered database,Software & Hardware,United States,2009,Acquired,Acquisition Flu,2015,3,"Dave Rosenthal, Dave Scherer, Nick Lavezzo",16,2,338478,-1,3
